TEAM,COLLEGE,NAME,COLLEGE_NAME
Chicago Bulls,,Cristiano Felicio,Cristiano Felicio
Portland Trail Blazers,Kentucky,Wenyen Gabriel,KentuckyWenyen Gabriel
Chicago Bulls,Arkansas,Daniel Gafford,ArkansasDaniel Gafford
Oklahoma City Thunder,,Danilo Gallinari,Danilo Gallinari
Orlando Magic,Arizona,Aaron Gordon,ArizonaAaron Gordon
Denver Nuggets,Syracuse,Jerami Grant,SyracuseJerami Grant
Golden State Warriors,Michigan State,Draymond Green,Michigan StateDraymond Green
LA Clippers,Alabama,JaMychal Green,AlabamaJaMychal Green
Houston Rockets,Georgetown,Jeff Green,GeorgetownJeff Green
Detroit Pistons,Oklahoma,Blake Griffin,OklahomaBlake Griffin
Washington Wizards,Gonzaga,Rui Hachimura,GonzagaRui Hachimura
Brooklyn Nets,Alabama,Donta Hall,AlabamaDonta Hall
LA Clippers,Louisville,Montrezl Harrell,LouisvilleMontrezl Harrell
Miami Heat,Florida,Udonis Haslem,FloridaUdonis Haslem
Detroit Pistons,North Carolina,John Henson,North CarolinaJohn Henson
Minnesota Timberwolves,,Juan Hernangomez,Juan Hernangomez
Oklahoma City Thunder,Texas-Arlington,Kevin Hervey,Texas-ArlingtonKevin Hervey
Philadelphia 76ers,Florida,Al Horford,FloridaAl Horford
Milwaukee Bucks,,Ersan Ilyasova,Ersan Ilyasova
Orlando Magic,Florida State,Jonathan Isaac,Florida StateJonathan Isaac
Memphis Grizzlies,Michigan State, Jaren Jackson Jr.,Michigan State Jaren Jackson Jr.
Indiana Pacers,Missouri State,Alize Johnson,Missouri StateAlize Johnson
Minnesota Timberwolves,Wake Forest,James Johnson,Wake ForestJames Johnson
LA Clippers,Florida State,Mfiondu Kabengele,Florida StateMfiondu Kabengele
Dallas Mavericks,,Maxi Kleber,Maxi Kleber
Los Angeles Lakers,Utah,Kyle Kuzma,UtahKyle Kuzma
Atlanta Hawks,Kentucky,Skal Labissiere,KentuckySkal Labissiere
Orlando Magic,Northwestern,Vic Law,NorthwesternVic Law
Indiana Pacers,UCLA,T.J. Leaf,UCLAT.J. Leaf
Golden State Warriors,UCLA,Kevon Looney,UCLAKevon Looney
Cleveland Cavaliers,UCLA,Kevin Love,UCLAKevin Love
Chicago Bulls,Arizona,Lauri Markkanen,ArizonaLauri Markkanen
Houston Rockets,UCLA,a Moute Luc Mbah,UCLAa Moute Luc Mbah
Charlotte Hornets,San Diego State,Jalen McDaniels,San Diego StateJalen McDaniels
New Orleans Pelicans,,Nicolo Melli,Nicolo Melli
San Antonio Spurs,USC,Chimezie Metu,USCChimezie Metu
Denver Nuggets,Louisiana Tech,Paul Millsap,Louisiana TechPaul Millsap
Los Angeles Lakers,Kansas,Markieff Morris,KansasMarkieff Morris
LA Clippers,Baylor,Johnathan Motley,BaylorJohnathan Motley
Oklahoma City Thunder,Bucknell,Mike Muscala,BucknellMike Muscala
